frame,timeSec,segIndex,t,x,y,z,frameDurMs,activeCount,sumIntensity,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31
0,0.0000,0,0.000,0.000,0.000,0.000,20,4,156,0,0,0,0,0,0,0,0,25,6,0,0,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0150,0,0.844,0.422,0.000,0.000,20,6,180,0,0,0,0,0,0,0,0,19,16,1,0,78,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0300,1,0.000,0.500,0.000,0.000,20,6,183,0,0,0,0,0,0,0,0,18,18,1,0,71,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0450,1,0.844,0.922,0.000,0.000,20,6,188,0,0,0,0,0,0,0,0,8,25,5,0,31,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0600,2,0.000,1.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0750,2,0.844,1.422,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,2,19,16,1,6,78,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0900,3,0.000,1.500,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,1,18,18,1,4,71,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.1050,3,0.844,1.922,0.000,0.000,20,7,189,0,0,0,0,0,0,0,0,0,8,25,5,1,31,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.1200,4,0.000,2.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.1350,4,0.844,2.422,0.000,0.000,20,6,184,0,0,0,0,0,0,0,0,0,2,19,16,0,6,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1500,5,0.000,2.500,0.000,0.000,20,6,183,0,0,0,0,0,0,0,0,0,1,18,18,0,4,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
