time,x,y,z,baseIntensity,sigma,motorPairs
0,-0.0724499971,-0.151649997,0.0500000007,1,0.119999997,1:1
0.0500000007,-0.0801500008,-0.0193500053,0.0500000007,1,0.119999997,5:1
0.100000001,0.00874999166,-0.0157499984,0.0500000007,1,0.119999997,6:1
0.150000006,0.127749994,0.00494998973,0.0500000007,1,0.119999997,11:1
0.200000003,0.12075001,0.120150007,0.0500000007,1,0.119999997,11:1
0.25,-0.00594999641,0.176849991,0.0500000007,1,0.119999997,13:1
0.300000012,-0.0612500049,0.21464999,0.0500000007,1,0.119999997,13:1
0.350000024,-0.172549993,0.224549994,0.0500000007,1,0.119999997,12:1
0.400000036,-0.0633499995,0.0742500052,0.0500000007,1,0.119999997,9:1
0.450000048,-0.0542499982,-0.0715500042,0.0500000007,1,0.119999997,5:1
0.50000006,-0.0556500033,-0.220049992,0.0500000007,1,0.119999997,1:1
0.550000072,0.0346499905,-0.218249992,0.0500000007,1,0.119999997,2:1
0.600000083,0.0675500035,-0.217349991,0.0500000007,1,0.119999997,2:1
0.650000095,0.171849996,-0.220049992,0.0500000007,1,0.119999997,3:1
0.700000107,0.119350009,-0.0922500044,0.0500000007,1,0.119999997,7:1
0.750000119,-0.0423499979,-0.204749987,0.0500000007,1,0.119999997,1:1
0.800000131,-0.073149994,0.00494998973,0.0500000007,1,0.119999997,9:1
0.850000143,0.122850001,0.00224999781,0.0500000007,1,0.119999997,11:1
0.900000155,0.0906499997,-0.184949994,0.0500000007,1,0.119999997,2:1
0.950000167,0.00524999481,-0.204749987,0.0500000007,1,0.119999997,2:1
1.00000012,-0.0087500019,0.030149987,0.0500000007,1,0.119999997,9:1
1.05000007,0.092050001,0.0499499999,0.0500000007,1,0.119999997,10:1
1.10000002,0.092050001,-0.157949999,0.0500000007,1,0.119999997,2:1
1.14999998,0.0094500035,-0.184949994,0.0500000007,1,0.119999997,2:1
1.19999993,-0.0143500026,0.00585000496,0.0500000007,1,0.119999997,9:1
1.24999988,0.131249994,-0.00495000323,0.0500000007,1,0.119999997,7:1
1.29999983,-0.0668500066,-0.206549987,0.0500000007,1,0.119999997,1:1
1.34999979,-0.157849997,-0.20115,0.0500000007,1,0.119999997,0:1
1.39999974,0.164849997,-0.209249988,0.0500000007,1,0.119999997,3:1
1.44999969,-0.15715,-0.21284999,-0.0500000007,1,0.119999997,0:1
1.49999964,0.112349994,-0.181349993,-0.0500000007,1,0.119999997,2:1
1.54999959,-0.103249997,-0.209249988,-0.0500000007,1,0.119999997,1:1
1.59999955,-0.153650001,-0.21284999,0.0500000007,1,0.119999997,0:1
1.6499995,0.0710500032,-0.211949989,0.0500000007,1,0.119999997,2:1
1.69999945,-0.092749998,-0.211949989,0.0500000007,1,0.119999997,1:1
1.7499994,0.0787500069,-0.211049989,0.0500000007,1,0.119999997,2:1
1.79999936,-0.149450004,-0.21284999,0.0500000007,1,0.119999997,0:1
1.84999931,-0.116549999,-0.203850001,-0.0500000007,1,0.119999997,1:1
1.89999926,0.120049998,-0.17414999,-0.0500000007,1,0.119999997,3:1
1.94999921,1,2,0,1,0.119999997,9:1
1.99999917,1,1,0,1,0.119999997,5:1
2.04999924,1,1,0,1,0.119999997,5:1
2.09999919,2,1,0,1,0.119999997,6:1
2.14999914,2,1,0,1,0.119999997,6:1
2.19999909,1,2,0,1,0.119999997,9:1
2.24999905,2,2,0,1,0.119999997,10:1
2.299999,0,3,0,1,0.119999997,12:1
2.34999895,1,3,0,1,0.119999997,13:1
2.3999989,2,3,0,1,0.119999997,14:1
2.44999886,1.50900006,2.53500009,0,1,0.119999997,14:1
2.49999881,0.326999992,2.34299994,0,1,0.119999997,8:1
2.54999876,0.566999972,1.38300002,0,1,0.119999997,5:1
2.59999871,1.41899991,0.620999992,0,1,0.119999997,5:1
2.64999866,2.72099996,0.435000002,0,1,0.119999997,3:1
2.69999862,0.129000008,0.00300000003,0,1,0.119999997,0:1
2.74999857,0.974999964,0.0449999981,0,1,0.119999997,1:1
2.79999852,1.35300004,0.0810000002,0,1,0.119999997,1:1
2.84999847,1.54499996,0.111000001,0,1,0.119999997,2:1
2.89999843,2.70900011,0.063000001,0,1,0.119999997,3:1
2.94999838,2.90100002,0.369000018,0,1,0.119999997,3:1
2.99999833,2.85299993,0.789000034,0,1,0.119999997,7:1
3.04999828,2.76300001,1.245,0,1,0.119999997,7:1
3.09999824,2.7809999,1.76100004,0,1,0.119999997,11:1
3.14999819,2.7750001,2.33699989,0,1,0.119999997,11:1
3.19999814,0.0989999995,2.48699999,1,1,0.119999997,8:1
3.24999809,1.16100001,2.55900002,1,1,0.119999997,13:1
3.29999804,2.08500004,2.50499988,1,1,0.119999997,14:1
3.349998,2.51699996,2.20499992,1,1,0.119999997,11:1
3.39999795,2.74500012,1.37699997,1,1,0.119999997,7:1
3.4499979,2.523,1.01699996,1,1,0.119999997,7:1
3.49999785,1.54499996,0.861000001,1,1,0.119999997,6:1
3.54999781,0.752999961,0.338999987,1,1,0.119999997,1:1
3.59999776,0.957000017,0.0689999983,1,1,0.119999997,1:1
3.64999771,2.20499992,0.0569999963,1,1,0.119999997,2:1
3.69999766,0.75,2.40333319,0,1,0.119999997,9:1
3.74999762,1.51666665,2.32999992,0,1,0.119999997,10:1
3.79999757,1.58333337,1.57666659,0,1,0.119999997,10:1
3.84999752,0.910000026,1.44999993,0,1,0.119999997,5:1
3.89999747,0.536666632,2.47666669,0,1,0.119999997,9:1
3.94999743,1.58333337,2.47000003,0,1,0.119999997,10:1
3.99999738,1.74333334,1.3033334,0,1,0.119999997,6:1
4.04999733,2.62333322,1.45666671,0,1,0.119999997,7:1
4.09999752,2.67000008,0.576666653,0,1,0.119999997,7:1
4.14999771,0.896666646,0.329999983,0,1,0.119999997,1:1
